x,y
0,0.8426395939086294
1,0.8913043478260869
2,0.8826530612244898
3,0.8308457711442786
4,0.7679558011049724
5,0.8444444444444444
6,0.8306878306878307
7,0.8308457711442786
8,0.8936170212765957
9,0.8138297872340425
10,0.7747252747252747
11,0.8052631578947368
12,0.8090452261306532
13,0.8317757009345794
14,0.8958333333333334
15,0.8306878306878307
16,0.8556701030927835
17,0.8387096774193549
18,0.7894736842105263
19,0.8563829787234043
20,0.8186813186813187
21,0.8306878306878307
22,0.7918781725888325
23,0.8823529411764706
24,0.8737373737373737
25,0.8666666666666667
26,0.8518518518518519
27,0.8659217877094972
28,0.8232044198895028
29,0.8764044943820225
30,0.8167539267015707
31,0.8478260869565217
32,0.8363636363636363
33,0.797752808988764
34,0.8309859154929577
35,0.875
36,0.8
37,0.8608247422680413
38,0.8288770053475936
39,0.8556149732620321
40,0.8153846153846154
41,0.859375
42,0.8324607329842932
43,0.9043062200956937
44,0.8279569892473119
45,0.8197674418604651
46,0.7795698924731183
47,0.8135593220338984
48,0.8481675392670157
49,0.8134715025906736
50,0.7864583333333334
51,0.8548387096774194
52,0.8370786516853933
53,0.7157360406091371
54,0.8324607329842932
55,0.8296703296703297
56,0.8844221105527639
57,0.7884615384615384
58,0.935
59,0.8840579710144928
60,0.75
61,0.8324607329842932
62,0.7939698492462312
63,0.7272727272727273
64,0.8284313725490197
65,0.7692307692307693
66,0.8010204081632653
67,0.8235294117647058
68,0.7277486910994765
69,0.775
70,0.8361581920903954
71,0.7959183673469388
72,0.8489583333333334
73,0.8465346534653465
74,0.812807881773399
75,0.7475247524752475
76,0.8491620111731844
77,0.6989247311827957
78,0.7967914438502673
79,0.7236180904522613
80,0.746031746031746
81,0.7371428571428571
82,0.7839195979899497
83,0.7921348314606742
84,0.8258706467661692
85,0.8121827411167513
86,0.8258426966292135
87,0.7675675675675676
88,0.6666666666666666
89,0.7872340425531915
90,0.8325123152709359
91,0.8247422680412371
92,0.7619047619047619
93,0.7967032967032966
94,0.867816091954023
95,0.8010471204188482
96,0.625
97,0.7684210526315789
98,0.7409326424870466
99,0.7593582887700535
100,0.8041237113402062
101,0.8160919540229885
102,0.803030303030303
103,0.6898395721925134
104,0.7037037037037037
105,0.8219895287958116
106,0.8153846153846154
107,0.712707182320442
108,0.7548076923076923
109,0.8258426966292135
110,0.8
111,0.7444444444444445
112,0.7604166666666666
113,0.7446808510638298
114,0.7845303867403315
115,0.7616279069767442
116,0.7525773195876289
117,0.7213930348258707
118,0.8222222222222222
119,0.817258883248731
